OBJECTID,COUNTYNBR,NAME,COUNTYSEAT,SHORTDESC,UPDATED,FIPS,ENTITYNBR,SALESTAXID,IMSCOLOR,MINNAME,POPLASTCENSUS,POPLASTESTIMATE,UGRCODE,GNIS,GlobalID,Shape__Area,Shape__Length
15,29,North Ogden,0,NORTH OGDEN CITY,1776643200000,55100,3040,026,3, ,20916,21855,NOG,1443962,47d36d69-61f9-433c-812f-4a99a3cbb739,35312528.596572876,53261.323225791784
16,20,Mount Pleasant,0,MOUNT PLEASANT CITY,1410825600000,53010,3100,024,3, ,3655,3820,MTP,1430522,a5eb25ea-361d-47bb-89b9-8d3ecd84957b,12789364.546875,22777.86765567053
17,21,Central Valley,0,CENTRAL VALLEY,1716508800000,12260,3015,007,2,,647,671,CVY,1439625,b3abbbf1-a2d4-48ae-9c3a-8ceaf1154d6c,8957344.29296875,28332.03227571801
18,25,Cedar Fort,0,CEDAR FORT,1454889600000,11430,3030,019,4, ,427,420,CDF,1455091,78b1152a-a0bf-4a6d-a3ec-ffd76fb342fd,94447867.79296875,49141.91621301088
19,05,Manila,1,MANILA,1291248000000,47620,3010,006,3,Manila,308,339,MAN,1443126,3943bf4d-66a0-4331-8566-7c1a3d533164,4707733.14453125,10592.692099949163
20,12,Nephi,1,NEPHI CITY,1771804800000,54220,3040,026,4,Nephi,6443,6840,NEP,1443793,0bc63aee-2d66-41ec-83b0-96e05cc1bbf1,24379214.50390625,42635.892496447275
21,27,Enterprise,0,ENTERPRISE,1624406400000,23420,3010,005,3, ,2027,2264,ENT,1440940,66735fa1-9c2b-412f-a29e-caf550e2a368,36115522.6640625,42920.93797323783
22,29,West Haven,0,WEST HAVEN,1623024000000,82930,3130,051,3, ,16739,22395,WHV,1455859,77af0ede-a8d0-4d68-80c8-aac7403a44df,49383587.87109375,56512.026497652885
23,29,Farr West,0,FARR WEST CITY,1694649600000,24850,3010,012,3, ,7691,8027,FRR,1441012,e70a6b0b-8cc7-48e9-8871-9a6561897775,27110498.953125,28412.08092312667
24,25,Genola,0,GENOLA,,28810,3060,038,2, ,1548,1585,GEN,1441295,a932416d-bc32-4739-b3c2-5c191cbe4c78,62739124.8359375,53197.431512506366
25,25,Vineyard,0,VINEYARD,1538092800000,80420,3195,117,2, ,12543,14535,VIN,1449150,1f84f181-cb59-46f6-b164-aa8cb3930401,28431374.546875,31272.80201516058
26,27,St. George,1,ST GEORGE CITY,1694736000000,65330,3080,020,2,St. George,95342,102519,STG,1455098,5b500adf-ac52-4b36-9515-652daace9bae,315695397.74516296,125589.49541016262
27,18,Midvale,0,MIDVALE,1410739200000,49710,3040,093,1, ,36028,35637,MID,1430307,391befe8-5146-4542-ae18-50b78a09010b,26352703.9296875,30626.207427852736
28,02,Tremonton,0,TREMONTON,1644278400000,77120,3150,113,3,Tremonton,9894,11840,TRM,1433664,de061178-4723-4909-8f9a-4c8a2c8b05fe,40333590.80859375,66923.99148210729
29,09,Cannonville,0,CANNONVILLE,1771200000000,10330,3030,004,1, ,186,193,CAN,1426344,d5063a88-c410-4066-990f-11d6226273e5,15165288.60546875,44912.00210605303
30,11,Brian Head,0,BRIAN HEAD CITY,1292371200000,08020,3010,028,3, ,151,155,BHD,1448176,75ab3fe6-f980-4d60-9296-24444f29611f,26913775.234375,27107.389976325463
31,25,Springville,0,SPRINGVILLE,1751846400000,72280,3190,106,2, ,35268,35832,SPV,1446057,3b1c3873-1181-4f5d-889c-9104ca600fa2,64485743.57170105,57960.61233364039
32,17,Garden City,0,GARDEN CITY,1431648000000,27930,3010,001,2,Garden City,602,629,GCY,1428133,2e3ea7dc-8385-47d3-99a1-88bfc4751434,40980400.3515625,59775.4013914199
33,18,Murray,0,MURRAY,1410739200000,53230,3050,096,2,Murray,50637,49463,MUR,1443742,59f4f187-5b65-4b12-8b23-69c8572d4707,55690325.05506897,42480.820129523585
34,14,Fillmore,1,FILLMORE,1754611200000,25510,3020,014,2,Fillmore,2592,2643,FIL,1441039,1d4828cd-d9b6-4e1b-8c4b-00235b0d09d5,32135222.93359375,46005.457828760926
35,06,Centerville,0,CENTERVILLE,,11980,3020,006,1, ,16884,16502,CEN,1439622,3135f499-7939-4e0b-b6a0-d608764740b3,27258386.7890625,31951.941080904904
36,23,Wendover,0,WENDOVER,1472083200000,82730,3070,052,4,Wendover,1115,1135,WEN,1434042,3b3a13cf-2663-4f9b-953f-d046e4842598,40301885.81640625,31267.16857366056
37,22,Park City,0,PARK CITY (SUMMIT CO),1758844800000,58070,3060,013,1,Park City,8396,8374,PKC,1444206,8bcaec6a-f27a-4ebe-8516-d772b558d734,98406494.5657196,65647.71644477586
38,12,Rocky Ridge,0,ROCKY RIDGE TOWN,1332115200000,64590,3080,030,4, ,848,951,RKR,1865575,3900a029-095c-402a-82db-613915235cb1,7470797.375,16681.34406838134
39,05,Dutch John,0,DUTCH JOHN CITY,1439164800000,20780,3005,,1,Dutch John,141,149,DUT,1440738,ad7d651a-f988-4848-aba8-5dfbc22bef69,28557589.88671875,23388.353995407113
40,02,Howell,0,HOWELL CITY,1337904000000,36620,3090,057,2, ,240,235,HOW,1437591,1a8a262a-d0d1-4e2a-932a-094bd733747e,165193811.4609375,52336.67222149624
41,20,Wales,0,WALES,1285545600000,80860,3130,033,4, ,338,357,WAE,1446954,fef8be56-8d9b-451e-969e-3032af8fd219,1726848.36328125,5543.088899204811
42,28,Loa,1,LOA,1783900800000,45530,3020,007,4,Loa,516,527,LOA,1442822,4f9d035a-795f-45c7-a5eb-7bd34a9a54f9,4016032.5039744377,9995.19736785681
43,27,Ivins,0,IVINS TOWN,1579219200000,38710,3040,010,4, ,8978,10012,IVI,1429067,510c2c20-871e-43fc-b0ff-a392b4989b28,38739901.7808435,43042.459401832806
44,02,Deweyville,0,DEWEYVILLE,1708646400000,19680,3040,032,4, ,417,430,DEW,1455092,7911b7a6-66bb-4728-b882-557a1af1c5ea,29612211.0625,37671.6420263499
45,20,Gunnison,0,GUNNISON,1285545600000,32660,3060,014,2, ,3509,3550,GUN,1428432,f9895245-9c98-4de5-b94b-81e4708581e1,20663409.16015625,21394.58042399175
46,08,Ferron,0,FERRON,1644451200000,25180,3060,009,2, ,1474,1514,FER,1441026,31e99e50-0911-41fc-b561-548ad584fb58,10117824.16330719,35710.492789734926
47,25,Lehi,0,LEHI,1766966400000,44320,3090,066,3,Lehi,75907,84373,LEH,1442553,8a5755b2-1007-4280-88db-84fd9a5fa585,137742779.35446858,132704.85893176813
48,03,Cornish,0,CORNISH,1323907200000,15940,3030,017,1, ,274,276,CSH,1437533,9979d510-b8ac-4c89-8420-0ba43d558334,25300324.84375,31836.301763468946
49,20,Fairview,0,FAIRVIEW,1293408000000,24630,3030,009,2, ,1203,1262,FVW,1440983,3182c4f1-e034-42d6-a6a3-b18f195068e5,5505277.449162483,10862.899633457646
50,25,Elk Ridge,0,ELK RIDGE,1588291200000,22370,3050,124,2, ,4687,4907,ELK,1455857,79a53fa3-59a1-4709-b3bf-48aabc2cc285,12932997.251091003,28146.677511840644
51,08,Clawson,0,CLAWSON,1388707200000,13300,3020,003,3, ,162,170,CLW,1426675,7c55bead-9b64-4314-9352-058d1c7198cc,4312614.30859375,16508.714446298654
52,29,Plain City,0,PLAIN CITY,1647820800000,60710,3060,030,2,Plain City,7833,,PLN,1444471,7c438867-98e8-45fc-8306-add0ef04036d,56227868.453125,62063.866383129134
53,18,Holladay,0,CITY OF HOLLADAY,1413331200000,36070,3036,065,1,Holladay,31965,30816,HOL,1441810,a02e42f0-bf27-4d05-8606-79dd2250259d,38250596.390625,32839.586825757004
54,27,Washington,0,WASHINGTON CITY,1778198400000,81960,3130,027,1, ,27993,32709,WAS,1447019,b57402b1-19ee-4942-b5c8-29b979af0b51,175917788.44984436,107244.0613868549
55,20,Fayette,0,FAYETTE,1285545600000,25070,3040,010,2, ,245,260,FAY,1427897,22d6178f-67bd-480a-b233-2637f4167ec2,1705069.76953125,6114.78690533239
56,17,Woodruff,0,WOODRUFF,1510876800000,85260,3040,010,4,Woodruff,169,177,WDR,1434462,8794d4ff-ffe3-43e0-9d13-f950774f0664,3313525.01171875,10342.831397288603
57,06,Fruit Heights,0,FRUIT HEIGHTS,1697500800000,27490,3060,010,2, ,6101,5971,FRU,1441248,a1c318e3-2f37-405a-a62c-498d5a65d0bd,10522455.53515625,19142.31534244383
58,02,Portage,0,PORTAGE,1337904000000,61590,3130,092,1, ,273,288,POR,1681817,f95ecd4f-b85d-4604-a950-12832f362c3f,12000870.80859375,24986.01319140074
59,04,Wellington,0,WELLINGTON,1778716800000,82510,3060,053,3, ,1605,1625,WEL,1434038,a72b95ba-863f-4760-899a-3e7fdba2ee57,22491898.6484375,60161.198193943674
60,13,Orderville,0,ORDERVILLE,1332374400000,57080,3050,007,2, ,598,592,ORD,1431023,84476eb8-4760-4d78-956d-576c82ee9bd6,38538921.1640625,45676.291739088025
61,25,Saratoga Springs,0,SARATOGA SPRINGS,1772755200000,67825,3075,098,1, ,37696,49354,SAR,1437677,0fb61e6e-5272-40a8-9755-218df2b90607,114146941.96484375,96291.63737442739
62,25,Salem,0,SALEM,1784246400000,65770,3160,096,4, ,9298,10393,SLM,1445262,086ae412-f860-44fc-8c5f-31e0da209462,53723281.33263016,71200.46365707737
63,13,Big Water,0,BIG WATER,,05534,3020,010,1,Big Water,449,487,BGW,1455970,d2c899e4-8f87-49e3-a200-46b5c367a924,24423887.45703125,24211.153660462827
64,23,Rush Valley,0,RUSH VALLEY TOWN,1372118400000,65240,3030,056,4, ,431,477,RUS,1699809,192ed296-3397-4457-8534-3f4405dc868f,80814195.4140625,46681.18997268698
65,27,Hurricane,0,HURRICANE CITY,1602201600000,37170,3030,008,4,Hurricane,20036,23077,HUR,1428951,fee223d1-a0cb-43b8-b474-65e5d6d0530a,218242045.25448704,108321.0574336887
66,06,South Weber,0,SOUTH WEBER,1783900800000,71180,3100,045,2, ,7867,8124,SWE,1445935,a8c5d791-5946-4c1e-bb0b-09e62b61e548,21605806.722866744,32922.25522752706
67,02,Bear River City,0,BEAR RIVER CITY,1337904000000,03950,3010,004,3, ,877,878,BRC,1438487,dab75fac-42bf-407e-9541-acac5a34020e,8331231.05859375,16873.43587163218
68,27,Rockville,0,ROCKVILLE,,64560,3075,019,4, ,226,224,RKV,1431946,0ee92915-066f-4ebb-add9-eacacf7aca2f,34569310.14453125,43706.337012598364
69,24,Ballard,0,BALLARD,1354233600000,03345,3010,028,1, ,1131,1191,BAL,1455969,217d803a-2855-4e41-aca6-69345ac9b476,62175667.7421875,34618.01645246557
70,27,Santa Clara,0,SANTA CLARA CITY,1765152000000,67660,3090,021,3, ,7553,8123,SCL,1432234,7b4ed8a3-7ac1-4cd4-93bc-87e455fc66b2,25096671.5625,26367.50042461394
71,03,Smithfield,0,SMITHFIELD,1660867200000,69640,3170,062,3, ,13571,14425,SMI,1445709,e290cf4c-2bc7-47cb-a207-1d28285b4a94,28146506.31162834,31507.120528359203
72,12,Santaquin,0,SANTAQUIN CITY (JUAB CO),1332115200000,67770,3090,097,1, ,13725,16898,SAQ,1445329,081bce75-8f3b-4c24-af22-d2b838ad3517,882490.40234375,4023.9805527106764
73,22,Kamas,0,KAMAS,1754611200000,39810,3040,022,3,Kamas,2092,2185,KAM,1442266,93c50c62-8da6-44c4-a0d2-6e0d41e5d6d1,19477667.86490822,34625.818909044545
74,03,Wellsville,0,WELLSVILLE,1777420800000,82620,3190,076,4, ,4060,4137,WLV,1447103,2509b7d7-301b-4bf4-8674-9b53a8124531,34173111.53500366,65725.95748279577
75,08,Emery,0,EMERY,1332720000000,22870,3050,008,1, ,307,315,EMY,1440926,b35db6f8-c648-4b76-9139-138d83523603,5260972.19921875,16561.31714189999
76,03,Mendon,0,MENDON,1753833600000,49160,3080,041,3, ,1339,1335,MEN,1450429,617cf176-b920-477a-8d66-cb7fa3823b6b,7454065.66015625,25363.778048521068
77,14,Delta,0,DELTA CITY,1701388800000,18910,3010,010,1,Delta,3622,3724,DEL,1427334,5f1da9f9-5239-42c0-891a-92dd5e4c34c6,37927798.359375,57707.61039581623
78,21,Aurora,0,AURORA,1678752000000,02740,3020,002,1, ,984,1030,AUR,1438307,c021406a-4863-4ce6-b1f6-15c3f9063fdc,4004220.234375,12425.684253838532
79,06,West Point,0,WEST POINT,1758067200000,83390,3140,056,1, ,10963,11892,WPT,1434108,ec3315bf-8934-4472-aae3-3a58f823f556,34964249.432608604,38715.599450139525
80,14,Kanosh,0,KANOSH,1705017600000,40250,3050,026,3, ,508,511,KNS,1442277,cfc03211-745c-41dc-8ae9-0fd1ef8862d7,3248543.453125,8982.249756787938
81,02,Elwood,0,ELWOOD,1676332800000,22760,3050,035,2, ,1173,1249,ELW,1427809,d7eab6ea-ca91-4524-acd4-22775efac897,40201506.443748474,58763.131055988226
82,28,Torrey,0,TORREY,1628035200000,77010,3040,010,2,Torrey,231,257,TOR,1446658,ce1acaf3-c04c-4e6f-b45f-6c37c2b38970,7242658.1484375,16657.949984965308
83,02,Plymouth,0,PLYMOUTH,1441929600000,61260,3120,090,4, ,427,433,PLY,1444488,e213b659-2a5a-4a7a-8751-3f6fc4d67443,4076921.8046875,21371.62556823175
84,27,Toquerville,0,TOQUERVILLE CITY,1498694400000,76900,3110,024,2,Toquerville City,1870,1960,TOQ,1446655,b965d7de-607c-4657-a836-046276c61a3c,90891976.66796875,69344.5341503793
