OBJECTID,CommunityName,IncorporationType,IncorporationYear,LatestChangeYear,SourceNote,IsActive,GISSqMi,last_edited_user,last_edited_date,created_user,created_date,NameAlt,CommunityID,Shape.STArea(),Shape.STLength()
76,Chefornak,2nd Class City,1974,1974,,1,6.0,,,,,,{A446B551-74BE-4F56-B131-523C342C41BA},15512518.486306004,16064.388261883498
77,Platinum,2nd Class City,1975,1975,,1,47.3,,,,,,{B31B12CB-15A8-477A-A113-F6ACBD1D3120},122403088.70072947,58791.0483243168
78,Napakiak,2nd Class City,1970,1970,,1,2.6,,,,,,{16F1264E-DF67-4828-9E72-1AB821AB3F99},6694098.797704775,11676.74895552932
79,Selawik,2nd Class City,1977,1977,,1,3.0,,,,,,{E0F2C831-698F-4BCE-8AC1-4162BE7D6DCD},7765788.48030173,11257.17910502305
80,Angoon,2nd Class City,1963,1986,,1,39.0,,,,,,{B81542E6-6232-4F35-AEC4-F6C46F2BBDE1},100926971.9813158,71589.2618975725
84,Thorne Bay,2nd Class City,1982,1998,,1,29.7,,,,,,{3F597174-5CB5-4C16-8F4A-786886325C42},76965461.77131937,61860.1814636893
87,Upper Kalskag,2nd Class City,1975,1975,,1,4.0,,,,,,{50BD3072-1166-4F66-BB42-2E68C28DE654},10359641.276531085,12874.495333139814
88,Fort Yukon,2nd Class City,1959,1959,,1,6.9,,,,,,{641D75DC-10FB-4C68-9F27-A8720C97B6C0},17974196.525500607,21400.501321103497
89,Shungnak,2nd Class City,1967,1976,,1,9.0,,,,,,{9177B2E0-91EE-4644-A900-570CEA299846},23252949.631360706,19288.638201244998
90,Toksook Bay,2nd Class City,1972,1972,,1,71.4,,,,,,{976DFE6D-5070-41D4-B270-90EB077F8A48},185025150.00610107,55021.14748249376
92,New Stuyahok,2nd Class City,1972,1972,,1,36.0,,,,,,{0C233779-E987-4620-A2DB-33C5FF299964},93120184.92960036,38599.89709606074
93,Lower Kalskag,2nd Class City,1969,1970,Technically not based on PLSS quarter sections,1,1.7,MWO,1736845200000,,,,{511EBD11-DE52-4BAB-8C3E-D2E9F870E1EC},4532479.56319011,9656.127080592503
94,Kivalina,2nd Class City,1969,1969,,1,4.2,,,,,,{88062838-37F6-4578-9FDD-4DBF5CACD276},10775516.05539533,14490.007758215675
95,Koyuk,2nd Class City,1970,1970,,1,5.1,,,,,,{DF841D28-31A1-4978-A650-B56C189E60FD},13213650.26047631,16792.10602269114
96,Hughes,2nd Class City,1973,1973,,1,2.7,,,,,,{9D089209-6790-456D-85A0-4D3282C8B989},7025548.364521595,13956.862640966781
98,Kake,1st Class City,1952,1988,,1,13.5,,,,,,{2F5F6904-B47C-439D-9AC1-64135C4403A6},34984810.92586431,24540.985205363282
99,Buckland,2nd Class City,1966,1966,,1,1.0,,,,,,{2FD931D4-12DB-45C2-834A-4B4559E54BA5},2590077.884022825,6437.500919110206
100,Nenana,Home Rule City,1921,1969,,1,6.2,,,,,,{3AC29D09-E0DD-4840-9E31-13F575B4BFF4},16185415.59221325,19504.51986971196
101,Larsen Bay,2nd Class City,1974,1974,,1,6.3,,,,,,{9F0EF727-1805-4199-AD1B-40C49AF1B61C},16347969.93362654,18736.123563344194
104,Russian Mission,2nd Class City,1970,2018,,1,5.7,,,,,,{8DA86262-15AB-46C9-B997-7983A9FF34AB},14818043.223551475,15037.467809134077
107,Allakaket,2nd Class City,1975,2015,,1,17.0,,,,,,{D9E1C7EB-2990-486A-BEC6-DF457C95E944},44120660.05238466,28665.164581916197
108,Soldotna,Home Rule City,1967,2016,,1,7.4,,,,,,{D7CCEBD6-7236-44C6-9E78-19F98183CFFC},19105056.869362365,27794.38893959334
109,Ambler,2nd Class City,1971,1972,,1,11.8,,,,,,{E98663F6-E635-4427-85F1-48E3042D196E},30661332.442931876,23955.376981531666
110,Tanana,2nd Class City,1961,2024,,1,15.0,,,,,,{52BCEDDA-9254-47D3-9A2A-3B00217A0661},38849994.43147404,25751.63822620984
111,Ketchikan,Home Rule City,1900,2001,,1,4.9,,,,,,{081D88E7-5D78-4E36-AC3C-F753262F026C},12696481.440378414,30081.040513036896
113,Atka,2nd Class City,1988,1988,,1,36.5,,,,,,{C80F8014-AF4E-4834-B4A8-DED62C0786C1},94498122.0372674,78742.85756133258
114,Coffman Cove,2nd Class City,1989,1989,,1,13.3,,,,,,{1F684F46-814E-4675-B09B-A8449105B5E9},34411141.71123772,33719.68673657763
116,Saint Mary's,1st Class City,1967,1981,,1,51.6,,,,,,{8AB67F75-EAB7-4DEB-8885-83230D155E9C},133626736.98250772,60822.96759668952
117,Port Alexander,2nd Class City,1974,1974,,1,15.6,,,,,,{5A7529F3-5CC9-423D-AF30-9EE44F9D5E43},40300625.559322864,32215.792871726702
118,Nome,1st Class City,1901,1982,,1,21.4,,,,,,{72E9842F-ABE0-4390-9A93-917EDB1CF17B},55545679.50603652,37028.93892926995
120,Eagle,2nd Class City,1901,1901,,1,0.9,,,,,,{99E4149C-E691-4714-88EC-9EDCEF72C195},2313822.26844635,7522.225960799208
121,Klawock,1st Class City,1929,1991,,1,1.0,,,,,,{F3CDD092-3609-4B82-9B09-D35DB0E7375F},2504153.909463645,8776.845143071347
125,Kwethluk,2nd Class City,1975,1975,,1,11.8,,,,,,{FF083E35-08C8-468F-B328-F69992F18FB7},30612673.92390556,22326.038738484163
131,Holy Cross,2nd Class City,1968,1968,,1,36.1,,,,,,{6F84CE74-EDA0-4424-A080-4A7C0F08E5DF},93387537.5050914,38655.22221926875
132,Akiak,2nd Class City,1970,1970,,1,3.0,,,,,,{B9E3D976-5DA3-4850-884A-E7818D521898},7770109.53798062,11271.644903745242
133,White Mountain,2nd Class City,1969,1969,,1,2.0,,,,,,{7B4ACF01-3330-4839-B43B-E98C4902C151},5299665.08304685,9403.29956794143
135,False Pass,2nd Class City,1990,1990,,1,65.5,GIS_OWNER_DCRA,1528936718000,,,,{223C147A-542C-4057-8AE2-C5C99FC10AB1},169765911.81867465,80106.36026237607
138,Hydaburg,1st Class City,1927,1973,,1,0.3,,,,,,{BDF65BBA-7D3D-4EFD-8DC7-59E48EA68082},759545.755898885,4608.965168795696
139,Kotlik,2nd Class City,1970,1980,,1,3.5,,,,,,{9A6475BE-BEC0-49DA-8979-2C6E5FFF39CB},9064536.338946754,12859.102494476878
142,Kiana,2nd Class City,1964,1964,,1,0.2,,,,,,{A1701483-F114-4FB2-A478-D0F6039C3EA8},483262.06384885,3236.735732895616
143,King Cove,1st Class City,1947,1994,,1,29.2,,,,,,{E3FB0AD1-05D8-4D22-919A-F24830556C1F},75627847.6206917,43501.48240316229
144,Delta Junction,2nd Class City,1960,1960,,1,13.9,,,,,,{763EEB4F-118C-4AEA-A931-D707FE999A12},36101197.72264553,27754.197660249014
145,Akutan,2nd Class City,1979,2012,,1,147.9,,,,,,{D57C95FC-45D5-44E0-B99B-5325C15EBE66},383188224.000284,92967.07991662223
146,Sand Point,1st Class City,1978,1994,,1,30.3,,,,,,{BCCD0BE5-1002-4368-A664-108C425C91DD},78453896.28771548,43860.44364688011
147,Egegik,2nd Class City,1985,1995,,1,128.5,,,,,,{F7D03E2F-5588-4343-BE94-44E824B7A836},332726657.5212956,94407.71339384865
148,Pilot Point,2nd Class City,1992,1992,,1,154.8,,,,,,{6C3B7B41-3AE1-40AB-AA91-33A20E34131E},400942563.1894055,129786.68472520843
150,Togiak,2nd Class City,1969,1986,,1,229.2,,,,,,{5992D3C6-F615-45B1-BE46-B0FF54252CF2},593674624.7260598,132642.74221396053
151,Nondalton,2nd Class City,1971,1971,,1,7.0,,,,,,{C36AA39B-6B83-4B74-A7C0-A5500A611AFB},18229161.319947384,22534.89797422683
152,Hoonah,1st Class City,1946,1993,,1,8.7,,,,,,{67C77481-D454-4AD4-8099-C6A3005285DE},22532161.739091426,22370.894859110398
