OBJECTID,BUS_TYPE,BUS_NAME,BUS_ADDRESS,ST_NAME,NBRHD,SUBREGION,MATCH_ADDR,BUS_URL,LON,LAT,GLOBALID
87,Food,Teak,64 Monmouth Street,Monmouth,Red Bank,Monmouth,"64 Monmouth Street, Red Bank, NJ, 07701",https://teakrestaurant.com/,-74.0683215,40.349717999999996,eb9b0156-0c21-4758-bfee-b50ede49c9e5
88,Food,The Oyster Point Hotel,146 Bodman Place,Bodman,Red Bank,Monmouth,"146 Bodman Place, Red Bank, NJ, 07701",https://www.theoysterpointhotel.com/,-74.074257,40.355351999999996,d7bc687f-6b73-4ba5-995b-222c6e0a170e
89,Food,The Robinson Ale House,26 Broad Street,Broad,Red Bank,Monmouth,"26 Broad Street, Red Bank, NJ, 07701",https://therobinsonalehouseredbank.com/,-74.0658195,40.351257,d6b92069-1140-43b8-8746-1f1656d8d8e7
90,Food,Pico & Guac,"30 Cook Plaza, Madison NJ 07940",Cook,Madison,Morris,"30 Cook Avenue, Madison, NJ, 07940",https://www.picoandguac.com/,-74.4153892,40.75960953,396ea509-3db7-4e96-a904-3a32b763b65b
91,Attraction,Madison Community Arts Center,"10 Kings Rd. Madison, NJ 07940",Kings,Chatham,Morris,"10 Kings Road, Chatham, NJ, 07928",https://www.madisonartsnj.org/mcac/,-74.41833145,40.7603063,f2558c8d-d6da-48e5-94b0-c63041afd05e
92,Shopping,The Chatham Bookseller,"8 Green Village Road Madison, NJ 07940",Green Village,Madison,Morris,"8 Green Village Road, Madison, NJ, 07940",https://www.chathambookseller.com/,-74.41662213,40.75924743,fe4c969b-683d-457d-bdee-6973a24298b4
93,Shopping,STITCH Boutique,"12 Waverly Place Madison, NJ 07940",Waverly,Madison,Morris,"12 Waverly Place, Madison, NJ, 07940",https://www.shopstitchnj.com/,-74.41518634,40.7583213,0808ff68-15b8-4ea3-992f-3407f36e4fa8
94,Food,Shanghai Jazz Restaurant & Bar,"24 Main Street Madison, NJ 07940 ",Main,Madison,Morris,"24 Main Street, Madison, NJ, 07940",https://www.shanghaijazz.com/,-74.41615703,40.75970224,66688e1e-d766-4054-a4ce-1cd532a678c0
95,Shopping,Madison PhotoPlus,"40 Main St. Madison, NJ 07940",Main,Madison,Morris,"40 Main Street, Madison, NJ, 07940",https://madisonphoto.com/,-74.41553542,40.75947975,e8839c40-d26a-4d88-80b8-05e76e8acb9b
96,Attraction,Museum of Early Trades & Crafts,"9 Main St, Madison, NJ 07940",Main,Peapack-Gladstone,Morris,"9 Main Street, Peapack, NJ, 07977",https://metc.org/,-74.41683203,40.75957091,841da23a-c81c-4e3d-b8c2-cb25db7cc021
97,Food,Harvest Bistro,"50 1/2 Main St.
Madison, NJ 07940",Main,Madison,Morris,"50 1/2 Main Street, Madison, NJ, 07940",https://www.harvestbistronj.com/,-74.41535481,40.7591438,29d46a2a-4ba7-4599-a093-a7142f84553c
98,Shopping,Tons of Toys,"64 Main St Madison, NJ 07940",Main,Madison,Morris,"64 Main Street, Madison, NJ, 07940",https://tonsoftoys.com,-74.41494906,40.75889766,6d8a8fd7-7014-4e55-842d-4163bf7ef664
99,Attraction,Crafted in Madison,"41 Kings Road, Madison NJ 07940",Kings,Madison,Morris,"41 Kings Road, Madison, NJ, 07940",https://www.craftedinmadison.com/,-74.4164704,40.75818508,615af2bb-c9a0-4208-a96f-7e6996d643a4
100,Attraction,Beneath the Surface Spa,"19 Waverly Pl, Madison NJ 07940",Waverly,Madison,Morris,"19 Waverly Place, Madison, NJ 07940 ",https://beneaththesurfacespa.com/,-74.41604756,40.75847271,3ff74e17-2c4e-4f11-be58-edb08c1a559e
101,Shopping,Hilltop Bicycles NJ,"14a Kings Rd
Madison, NJ 07940",Kings,Madison,Morris,"14 Kings Road, Madison, NJ, 07940",https://hilltopbicyclesnj.com/,-74.41760117,40.75962765,2dfcf7a5-441e-4aa9-a666-029123056bbf
102,Food,The Hidden Chickpea,"143 Main St, Madison, NJ 07940",Main,Madison,Morris,"143 Main Street, Madison, NJ, 07940",http://thehiddenchickpea.com/,-74.41075642,40.75594275,6246d4ea-e8b1-4aa8-96ae-28cd5698fc37
103,Attraction,Healthy Italia - La Buona Cucina,"55 Main Street, Madison NJ 07940",Main,Madison,Morris,"55 Main Street, Madison, NJ, 07940",https://healthy-italia.com/,-74.41554892,40.75884975,c7dd4c7d-3913-4667-b330-23102ce9d787
104,Food,Noon Tea Creperie,"57 Main St, Madison, NJ 07940",Main,Madison,Morris,"57 Main Street, Madison, NJ, 07940",https://www.noonteacreperie.com/,-74.4154197,40.7588512,de4755cc-ab1e-4437-90ba-1b9e8cb75abe
105,Food,Butter & Jam,"30 Cook Plaza, Madison NJ 07940",Cook,Madison,Morris,"30 Cook Avenue, Madison, NJ, 07940",https://butterandjamcafe.com/,-74.41553622,40.7596886,6bb6359b-28b8-4631-a69f-3f003e435447
106,Shopping,The Snooki Shop,"32 Main Street Madison, NJ 0794",Main,Madison,Morris,"32 Main Street, Madison, NJ, 07940",https://thesnookishop.com/,-74.41593178,40.75950736,464520a4-562c-42e4-bcc4-461aad1c1199
107,Food,Sugarlips Donuts,"145 Main St, Madison, NJ 07940",Main,Madison,Morris,"145 Main Street, Madison, NJ, 07940",https://www.sugarlipsdonuts.com/,-74.41060755,40.75588801,2a2e0abd-ac4c-4bdb-8a88-b27ac1703cb5
108,Shopping,The Nature of Reading Bookshop,"22 Main St. Madison, NJ 07940",Main,Madison,Morris,"22 Main Street, Madison, NJ, 07940",https://www.thenatureofreading.com/,-74.41632902,40.75974693,b928e031-4a39-4b12-a4ea-51bff86f5050
109,Shopping,The Pink Pear,"42 Main Street , Madison, NJ 07940",Main,Madison,Morris,"42 Main Street, Madison, NJ, 07940",https://shopthepinkpear.com/,-74.41566544,40.75934189,f773cdc1-facb-49cc-b835-4cc785fc506d
110,Café,Sunday Motor Co Café,"27 Kings Road Madison, New Jersey 07940",Kings,Madison,Morris,"27 Kings Road, Madison, NJ, 07940",https://www.sundaymotorco.com/,-74.41744792,40.75928175,7b8eb0d3-103d-4ab1-b04c-05085b4d1703
111,Food,Madison Market,"17 Greenwood Ave, Madison, NJ 07940",Greenwood,Madison,Morris,"17 Greenwood Avenue, Madison, NJ, 07940",https://madisonmarket.com/,-74.41194865,40.75806928,3a3e791c-05df-4470-b634-701ccf7f35d3
112,Food,Tino's Artisan Pizza Co,"6 Main Street Madison, NJ 07940",Main,Madison,Morris,"6 Main Street, Madison, NJ, 07940",https://madison.nojunkpizza.com/,-74.41657081,40.7602129,89cd9608-ebd7-4211-892e-39a2b30a7d8f
113,Shopping,The Blue Purl,"60 Main St. Madison, NJ ",Main,Madison,Morris,"60 Main Street, Madison, NJ, 07940",https://www.thebluepurl.com/,-74.41506196,40.75896344,aa0365b3-18d6-4e03-b03a-cec02da0562a
