OBJECTID,NAME,STATE,LAT,LONG_,MRC,CGI_10mDEM,Shape_Leng,Title,UTM,Shape.STArea(),Shape.STLength()
702,Lawrence,MI,42.125,-86.000,42086-B1,no,48413.1148683,"Lawrence, MI",16N,143324193.84596512,48413.1147827836
703,Lawton,MI,42.125,-85.750,42085-B7,no,48410.1852346,"Lawton, MI",16N,143306848.6152722,48410.18526344207
704,Le Roy,MI,44.000,-85.375,44085-A4,no,47789.8125034,"Le Roy, MI",16N,138992713.5590121,47789.81249672304
705,Leaton,MI,43.625,-84.625,43084-F6,no,47914.324449,"Leaton, MI",16N,139860113.18228433,47914.324487872495
706,Leetsville,MI,44.750,-85.125,44085-G2,yes,47539.7413584,"Leetsville, MI",16N,137248553.42462328,47539.74134010563
707,Legrand,MI,45.375,-84.375,45084-D4,no,47335.462632,"Legrand, MI",16N,135815139.8480798,47335.462647883985
708,Leland,MI,45.000,-85.750,45085-A7,yes,47454.5293985,"Leland, MI",16N,136655464.15368995,47454.52943165448
709,Leonidas,MI,42.000,-85.250,42085-A3,no,48446.1565684,"Leonidas, MI",16N,143561695.37305087,48446.15657711205
710,Leslie,MI,42.375,-84.375,42084-D4,no,48321.339213,"Leslie, MI",16N,142696805.40261868,48321.33922366663
711,Levering,MI,45.625,-84.750,45084-F7,no,47247.9743759,"Levering, MI",16N,135207667.0812443,47247.97441433304
712,Lewiston,MI,44.875,-84.250,44084-H3,no,47503.4902767,"Lewiston, MI",16N,136988715.66349044,47503.490245365414
713,Lime Island,MI,46.000,-83.875,46083-A8,no,47132.1222417,"Lime Island, MI",17N,134383296.78209105,47132.12216486226
714,Lincoln,MI,44.625,-83.375,44083-F4,yes,47596.2581826,"Lincoln, MI",17N,137625357.28048867,47596.258299068504
715,Linden,MI,42.750,-83.750,42083-G7,no,48202.1471676,"Linden, MI",17N,141864161.56285235,48202.14733329413
716,Litchfield,MI,42.000,-84.750,42084-A7,no,48443.0655677,"Litchfield, MI",16N,143543377.2645864,48443.06564212749
717,Little Lake,MI,46.250,-87.250,46087-C3,no,47028.4798855,"Little Lake, MI",16N,133682584.5726681,47028.48003756124
718,Little Point Sable,MI,43.625,-86.500,43086-F5,no,47921.1661833,"Little Point Sable, MI",16N,139900057.39800847,47921.166203778004
719,Little Todd Harbor,MI,48.000,-88.875,48088-A8,no,46416.9279417,"Little Todd Harbor, MI",16N,129412687.11022814,46416.92805743751
720,Long Lake East,MI,45.125,-83.375,45083-B4,no,47431.4431166,"Long Lake East, MI",17N,136471043.98097187,47431.44315199391
721,Long Lake West,MI,45.125,-83.500,45083-B5,no,47429.5477849,"Long Lake West, MI",17N,136460135.04820096,47429.54773974984
722,Loomis,MI,43.750,-84.625,43084-G6,no,47873.2315878,"Loomis, MI",16N,139573493.5975946,47873.23142756781
723,Loud Dam,MI,44.375,-83.625,44083-D6,yes,47675.1556736,"Loud Dam, MI",17N,138181349.2171231,47675.155598219695
724,Lovells,MI,44.750,-84.375,44084-G4,no,47543.9601916,"Lovells, MI",16N,137272913.94297025,47543.96011456483
725,Lowell,MI,42.875,-85.250,42085-H3,no,48160.9843821,"Lowell, MI",16N,141577939.17092666,48160.98435503006
726,Lucas,MI,44.125,-85.250,44085-B3,no,47748.163553,"Lucas, MI",16N,138702500.1429524,47748.16346342034
727,Scottville,MI,43.875,-86.250,43086-H3,no,47835.1571334,"Scottville, MI",16N,139304332.53794658,47835.15708805157
728,Ludington,MI,43.875,-86.375,43086-H4,yes,47836.1013651,"Ludington, MI",16N,139309835.57149392,47836.10149744569
729,Axin,MI,44.125,-85.500,44085-B5,no,47748.3104166,"Axin, MI",16N,138703351.72957867,47748.31027049236
730,Hoxeyville,MI,44.125,-85.625,44085-B6,no,47748.5315118,"Hoxeyville, MI",16N,138704637.64441133,47748.53156606954
731,Bristol,MI,44.000,-85.500,44085-A5,no,47789.9932004,"Bristol, MI",16N,138993766.1965572,47789.993249862724
732,Luther,MI,44.000,-85.625,44085-A6,no,47790.2725685,"Luther, MI",16N,138995391.53092325,47790.272668002865
733,Luzerne,MI,44.500,-84.250,44084-E3,yes,47627.8492614,"Luzerne, MI",16N,137857939.23506957,47627.8492334396
734,Luzerne NW,MI,44.625,-84.375,44084-F4,yes,47585.4642489,"Luzerne NW, MI",16N,137562942.6995292,47585.46423937909
735,Lyon Lake,MI,42.125,-84.875,42084-B8,no,48403.3151219,"Lyon Lake, MI",16N,143266175.01125193,48403.31499665678
736,Lyon Manor,MI,44.375,-84.625,44084-D6,no,47666.7963442,"Lyon Manor, MI",16N,138132897.86876035,47666.79650211465
737,Mack Lake,MI,44.500,-84.000,44084-E1,yes,47630.0423678,"Mack Lake, MI",16N,137870638.14804006,47630.04242982278
738,Macon,MI,42.000,-83.750,42083-A7,no,48442.1492141,"Macon, MI",17N,143537945.2281574,48442.149124237076
739,Malone Bay,MI,47.875,-88.750,47088-H7,no,46461.1327813,"Malone Bay, MI",16N,129721502.7278073,46461.13279367042
740,Mancelona,MI,44.875,-85.000,44085-H1,yes,47498.3635952,"Mancelona, MI",16N,136959150.06625503,47498.363569199755
741,Manchester,MI,42.125,-84.000,42084-B1,no,48401.7732531,"Manchester, MI",16N,143257051.23273936,48401.77334885341
742,Manistee,MI,44.125,-86.250,44086-B3,no,47751.1372998,"Manistee, MI",16N,138719778.08268487,47751.13734003319
743,Manistee NW,MI,44.125,-86.375,44086-B4,no,47751.9543144,"Manistee NW, MI",16N,138724524.67332634,47751.95433690933
744,Manistique East,MI,45.875,-86.125,45086-H2,yes,47156.3778123,"Manistique East, MI",16N,134576293.3351358,47156.377930967676
745,Manistique West,MI,45.875,-86.250,45086-H3,yes,47156.2815951,"Manistique West, MI",16N,134575742.22428405,47156.28158399762
746,Manitou Island,MI,47.375,-87.625,47087-D6,no,46634.7797016,"Manitou Island, MI",16N,130937583.90737376,46634.779613282284
747,Manitou Island OE E,MI,47.375,-87.500,47087-D5,no,46634.5698232,"Manitou Island OE E, MI",16N,130936404.83063504,46634.56974269435
748,Manning,MI,45.500,-84.250,45084-E3,no,47294.9235708,"Manning, MI",16N,135529826.44340348,47294.92365459112
