FID,UNITNAME,GISID,SUBTYPE,UNITNBR,Shape__Area,Shape__Length,GlobalID
8719,Estero Bluffs SP,GIS0000401,Park Unit or Property,749,2354292.065979004,16531.60284636964,0b949ea8-7c48-4d34-9a4c-05ca5c1170c2
8720,Kechaye CP,GIS0000402,SubUnit,904,2575489.1640625,7613.019301916762,0ed7601a-de8a-4dce-b6bb-6d329d55c178
8721,Anderson Marsh SHP,GIS0000403,Cooperative Mgmt Area,701,13044.0390625,574.7398249572082,4c96957f-08de-4ee9-8148-d812d9e88c8c
8722,Anderson Marsh SHP,GIS0000404,Park Unit or Property,701,9067500.08203125,19712.383846133824,79b65c28-6c83-4ea6-bfc2-89c3395d087b
8723,Sonoma Coast SP,GIS0000405,Park Unit or Property,209,65682255.4296875,156477.4851258048,f9bb7326-f0b3-491c-8e7d-4039b2e3d1b5
8724,Sonoma Coast SP,GIS0000406,Underwater Park,209,3781206.45703125,17415.568411892535,e1d093bb-2d73-4ed5-bb89-cd2776b5893a
8725,Fremont Peak SP,GIS0000407,Park Unit or Property,412,1001861.9453125,5080.874792436993,0e3cda7e-f544-4e37-b40e-f846392f957a
8726,Fremont Peak SP,GIS0000408,Cooperative Mgmt Area,412,4760.57421875,1212.66497935067,33b9fbc6-361f-4b49-8956-c750ccdb4a90
8727,McGrath SB,GIS0000410,Cooperative Mgmt Area,567,17285.70703125,4130.825609814209,bf985925-6ff0-4850-a88c-2c64302ea1c3
8728,Carlsbad SB,GIS0000411,Park Unit or Property,612,226002.015625,6966.107191409712,941a22e2-2ef2-478f-af18-7865644fd816
8729,San Diego District Office Bldg,GIS0000412,Properties not operated as CSP units,403,2468.1328125,245.09005102711063,ac1d15cf-5fee-43d4-9ca1-27814deea368
8730,Emeryville Crescent SMR,GIS0000418,Marine Managed Areas,225,2370700.5859375,6279.708410981499,c5555385-9a7b-47cc-b15b-714376d4b356
8731,Albany SMR,GIS0000419,Marine Managed Areas,223,1183776.1484375,7948.912566759285,ea92281d-10a7-4639-ad42-cbb6b20a7e86
8732,Great Valley Grasslands SP,GIS0000421,Park Unit or Property,352,18451351.21484375,38085.12657617709,c48b18ab-34fe-4fe1-9e6f-94f233b4457f
8733,Coyote Canyon CP,GIS0000424,SubUnit,613,173057426.61328125,173998.5180580564,4ed86826-7d6d-4015-8b36-c476f6f5a545
8734,Culp Valley CP,GIS0000425,SubUnit,620,7404439.82421875,20619.309548749363,a4904222-e6ed-4f8a-ae01-56e70b0695dd
8735,Little Blair Valley CP,GIS0000427,SubUnit,629,27458847.23828125,32976.4924366738,fa39bdae-c243-4f55-873e-93cfdd0dd645
8736,Piedras Grandes CP,GIS0000428,SubUnit,608,11021185.2734375,16317.553908479853,4f8f292d-9e30-4892-a445-5746942a924d
8737,Southern Overland Trail CP,GIS0000429,SubUnit,609,1811416.59765625,70041.38679567545,56872086-5ba2-4e98-80e6-1ffce67ee852
8738,Cambria SMP,GIS0000430,Park Unit or Property,401,24303396.07421875,30286.931455566064,261d6a15-7063-4e4e-879e-a2e378757ab4
8739,Limekiln SW,GIS0000431,SubUnit,463,2829172.8671875,12313.168123917932,4139755f-99bf-479b-9968-62a183a5531c
8740,Mount Diablo SP - Morgan Territory Regional Preserve,GIS0000432,Park Unit operated by other entity,203,3556847.921875,8076.0457608746365,fbb7988a-18b0-4a36-9bf8-90c404492b67
8741,Mount Diablo SP - Diablo Foothills Regional Park,GIS0000433,Park Unit operated by other entity,203,2301276.0546875,8732.91967117985,020e943b-f2fb-4bd9-a1c1-1a3b70f12b01
8742,Hawi-Vallecito CP,GIS0000438,SubUnit,632,25288693.921875,89653.94874375114,ece1d1c9-af02-4627-a245-6ab507aa2201
8743,Santa Ines Mission Mill,GIS0000439,Park Unit operated by other entity,509,239314.5390625,2800.807691098546,d7b52329-67f5-409b-bde0-9286c2056a50
8744,Ellen Browning Scripps NP,GIS0000440,SubUnit,633,394346.41015625,3260.551554684534,63f41279-7a44-4fc6-a7a6-d62d8921b779
8745,Anza-Borrego Desert SP,GIS0000441,Park Unit or Property,622,3624759045.9726562,1413957.8628022012,2c30a104-ac4b-4d78-a0c7-7316b09972c7
8746,California Citrus SHP,GIS0000442,Park Unit or Property,570,1464593.11328125,12231.846302412167,f18312f4-5089-42d9-8eb7-6a4f83c22803
8747,Los Penasquitos Marsh NP,GIS0000443,SubUnit,,1150103.921875,7748.3266754341985,fec71bff-7bde-49ab-a6e6-314dca964cea
8748,Topanga CP,GIS0000445,SubUnit,582,939127.05078125,9365.047611924676,6e555641-3d0a-416a-81c6-a1a99e6ba4b8
8749,"Eastern Kern County, Onyx Ranch SVRA",GIS0000447,Park Unit or Property,331,161125524.36328125,377332.17116000934,ffbf41f0-3847-421d-8571-4b66d09c27a3
8750,San Lorenzo Headwaters NP,GIS0000452,SubUnit,985,11438416.8765831,22110.721550991355,7325ae6c-5957-4116-a13c-04ad85b9d1f1
8751,Ed Z'berg Sugar Pine Point SP,GIS0000453,Park Unit or Property,339,14953549.62890625,24440.72404648703,5e2bab76-5005-413d-a331-57a1b9a8fbef
8752,Auburn SRA,GIS0000454,Park Unit or Property,398,205206176.796875,273959.98258795484,01bd88b5-d421-4c99-b45f-712a7b8505b3
8753,Mokelumne River Berm,GIS0000455,Park Unit or Property,330,109370.28515625,2253.469129535006,cd4f362d-55a9-46c6-8a3e-3c63fc4ed4b7
8754,Long Beach Marine Stadium,GIS0000456,Park Unit or Property,536,7836.4140625,391.91018451118254,b329e77b-9dff-4ebe-8bb5-fe771282e02a
8755,Cuish-Cuish (East Mesa) CP,GIS0097806,SubUnit,961,8879977.52734375,17720.13558529407,b4216e73-2d78-4a71-83d5-d75861770b82
8756,Ah-Ha-Kwe-Ah-Mac/Stonewall Mine CP,GIS0097807,SubUnit,909,10264942.09375,30461.667058253563,30179eca-596f-418f-9978-543840fd79ed
8757,Cuyamaca Meadow NP,GIS0097808,SubUnit,980,5947152.6484375,34004.866329986566,38e301ac-19cb-429c-8ebf-dd0c81d8cda7
8758,Cuyamaca Mountain SW,GIS0097809,SubUnit,906,72074397.4140625,115512.5017317516,43bf1d04-2104-4fc7-8592-fe3cdbfe588e
8759,El Capitán SB,GIS0000273,Park Unit or Property,519,15812235.45703125,50860.30071186669,cdea274c-4bd9-41d9-8440-419725581cca
8760,Salton Sea SRA,GIS0000159,Park Unit or Property,623,90072588.61328125,125653.6417900987,fcd409cc-aede-46b3-b8de-d9b89f30f417
8761,Refugio SB,GIS0000150,Park Unit or Property,527,5599828.0859375,22350.390156285157,7386129a-4561-4d52-8aa8-d24f338fc454
8762,Point Lobos SNR,GIS0000139,Park Unit or Property,449,7650251.7109375,12417.841722048628,a1a71456-7280-44ca-b5c7-ece1822109a2
8763,San Jose Creek NP,GIS0124807,SubUnit,997,181129.1171875,5251.730883540427,ffac7252-52da-4350-9ba4-261482388b82
8764,Point Lobos Ridge NP,GIS0125307,SubUnit,998,3478221.9140625,9202.627375161357,3b1f8566-5d14-4a4e-9b2a-deb888890c43
8765,San Jose Creek NP,GIS0133052,SubUnit,997,138630.87890625,3559.3524448680405,6e718242-8489-4d31-8d25-ca6f1ed68937
8766,San Jose Creek NP,GIS0128158,SubUnit,997,20745.10546875,1071.2537766127448,fa893285-6157-4541-8406-192f24f17231
8767,Tatlun CP,GIS0130632,SubUnit,996,28378.89453125,964.66598208681,c5790bbe-d00e-433b-ae95-90b93e2249d7
8768,San Jose Creek NP,GIS0133179,SubUnit,997,33888.80078125,1007.7545987885964,11e79bf4-b36d-425d-8b59-eff843fd7cf9
8769,Tatlun CP,GIS0135242,SubUnit,996,97059.61328125,1698.200169245392,b6b6ba17-acad-45c6-916b-0b99cc0e5d19
8770,Point Lobos Ridge NP,GIS0135516,SubUnit,998,111885.97265625,1525.08363632071,4db94fe3-788d-4d6a-bf9c-a2bd184e3f00
