OBJECTID,AIRPORTID,FACILITY,MAPLABEL,CITY,COUNTY,FNCTNLCLSS,STATECLASS,FAASRVCLVL,FAASITENO,DISTRICT,F5010URL,Shape__Area,Shape__Length
12,0Q4,SELMA AIRPORT,SELMA,Selma,Fresno,Community,COMMUNITY-Recreation,Not a NPIAS Facility,02287.2*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=0Q4,147473.069588865,3162.194068472271
13,0Q5,SHELTER COVE AIRPORT,SHELTER COVE,Shelter Cove,Humboldt,Community,COMMUNITY,General Aviation,02294.4*A,1,http://www.gcr1.com/5010web/airport.cfm?Site=0Q5,374991.783958545,3743.273306775432
14,0Q9,SONOMA SKYPARK AIRPORT,SONOMA SKYPARK,Sonoma,Sonoma,Community,COMMUNITY,Not a NPIAS Facility,02299.8*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=0Q9,232605.490905925,2979.30822488722
15,0Q3,SONOMA VALLEY AIRPORT,SONOMA VALLEY,Schellville/Sonoma,Sonoma,Community,COMMUNITY,Not a NPIAS Facility,02281.6*A,4,http://www.gcr1.com/5010web/airport.cfm?Site=0Q3,550531.25392649,6851.762562110488
16,TSP,TEHACHAPI MUNICIPAL AIRPORT,TEHACHAPI MUNI,Tehachapi,Kern,Regional,REGIONAL-Business/Corporate,General Aviation,02341.*A,6,http://www.gcr1.com/5010web/airport.cfm?Site=TSP,1383527.66526761,5549.912823109876
17,TRK,TRUCKEE-TAHOE AIRPORT,TRUCKEE - TAHOE,Truckee,Nevada,Regional,REGIONAL-Business/Corporate,General Aviation,02366.*A,3,http://www.gcr1.com/5010web/airport.cfm?Site=TRK,2854651.273441955,12403.364416253682
18,TNP,TWENTYNINE PALMS AIRPORT,TWENTYNINE PALMS,Twentynine Palms,San Bernardino,Regional,REGIONAL,General Aviation,02379.2*A,8,http://www.gcr1.com/5010web/airport.cfm?Site=TNP,2002380.540889945,10028.566293291733
19,UKI,UKIAH MUNICIPAL AIRPORT,UKIAH MUNI,Ukiah,Mendocino,Regional,REGIONAL-Business/Corporate,General Aviation,02383.*A,1,http://www.gcr1.com/5010web/airport.cfm?Site=UKI,1066996.64802876,6660.330691842599
20,VNY,VAN NUYS AIRPORT,VAN NUYS,Van Nuys,Los Angeles,Metropolitan,METROPOLITAN-Business/Corporate,Reliever,02396.*A,7,http://www.gcr1.com/5010web/airport.cfm?Site=VNY,4373702.329743085,10896.045111415047
21,0O9,WARD FIELD AIRPORT,WARD FIELD,Gasquet,Del Norte,Community,COMMUNITY,Not a NPIAS Facility,01606.*A,1,http://www.gcr1.com/5010web/airport.cfm?Site=0O9,152176.750492785,3077.035295817349
22,WVI,WATSONVILLE MUNICIPAL AIRPORT,WATSONVILLE MUNI,Watsonville,Santa Cruz,Regional,REGIONAL-Business/Corporate,General Aviation,02429.*A,5,http://www.gcr1.com/5010web/airport.cfm?Site=WVI,1969687.86368903,7481.00522655963
